Datetime,Open,High,Low,Close,Vol,spread,real_volume,Ask,Bid,Current_Spread,EMA_50,EMA_200,RSI,MACD,MACD_Signal,ATR,Candle_Body,Upper_Shadow,Lower_Shadow,Tenkan_Sen,Kijun_Sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span_Rel
2024-07-03 05:00:00,1.26829,1.26872,1.26827,1.2683900000000001,1389,9,0,1.36137,1.36098,0.00038999999999989043,1.2661363998251736,1.2648499400052433,64.56808199121473,0.0010283490850566679,0.0009407028384291325,0.0009342857142857446,0.00010000000000021103,0.00032999999999994145,1.999999999990898e-05,1.268405,1.2653949999999998,1.265825,1.26644,0.004330000000000167
2024-07-03 06:00:00,1.26837,1.2686899999999999,1.26836,1.2686,1586,9,0,1.36137,1.36098,0.00038999999999989043,1.2662330115967355,1.264887254035042,56.785714285712544,0.0009995480122584333,0.0009524718731949927,0.0008050000000000239,0.00022999999999995246,8.999999999992347e-05,1.0000000000065512e-05,1.268405,1.2653949999999998,1.26569,1.26644,0.004629999999999912
2024-07-03 07:00:00,1.2686,1.26883,1.26857,1.26864,1061,9,0,1.36137,1.36098,0.00038999999999989043,1.2663274032988245,1.2649245947909125,60.07462686567047,0.0009687830918350127,0.0009557341169229969,0.0006750000000000129,4.0000000000040004e-05,0.00018999999999991246,2.999999999997449e-05,1.268405,1.2653949999999998,1.26569,1.26644,0.004999999999999893
2024-07-03 08:00:00,1.26864,1.26864,1.2677800000000001,1.26811,1381,9,0,1.36137,1.36098,0.00038999999999989043,1.2663973090518117,1.2649562903651324,55.231560891937846,0.0008913600562687751,0.0009428593047921526,0.0006771428571428524,0.0005299999999999194,0.0,0.00032999999999994145,1.268405,1.2653949999999998,1.26563,1.26644,0.0047399999999999665
2024-07-03 09:00:00,1.26811,1.26886,1.26789,1.26867,2887,9,0,1.36137,1.36098,0.00038999999999989043,1.2664864341870348,1.2649932426998076,66.43233743409468,0.0008652153981327793,0.000927330523460278,0.0006700000000000118,0.0005599999999998939,0.0001900000000001345,0.000220000000000109,1.2685300000000002,1.2653949999999998,1.265625,1.26644,0.005400000000000071
2024-07-03 10:00:00,1.26868,1.26977,1.26859,1.26932,3772,9,0,1.36137,1.36098,0.00038999999999989043,1.2665975544149943,1.2650362950112524,64.95412844036667,0.0008867235389307115,0.0009192091265543647,0.0006707142857142864,0.0006399999999999739,0.00045000000000006146,8.999999999992347e-05,1.2687750000000002,1.2656399999999999,1.26558,1.26644,0.005630000000000024
2024-07-03 11:00:00,1.26932,1.27013,1.2688,1.26952,3066,9,0,1.36137,1.36098,0.00038999999999989043,1.2667121601242102,1.2650809089912398,61.64658634538154,0.0009094239507929647,0.0009172520914020847,0.0007042857142857287,0.00019999999999997797,0.0006099999999999994,0.000520000000000076,1.268955,1.26582,1.26554,1.26644,0.006289999999999907
2024-07-03 12:00:00,1.26952,1.2699799999999999,1.26916,1.26965,2730,9,0,1.36137,1.36098,0.00038999999999989043,1.2668273695311039,1.2651263725833668,59.70464135020904,0.0009272157384254687,0.0009192448208067616,0.0007235714285714424,0.00012999999999996348,0.00032999999999994145,0.00035999999999991594,1.268955,1.26614,1.26467,1.266235,0.007199999999999873
2024-07-03 13:00:00,1.26965,1.2708,1.26941,1.26992,2807,9,0,1.36137,1.36098,0.00038999999999989043,1.2669486491573352,1.265174070368607,65.26315789473693,0.0009521270735970422,0.0009258212713648178,0.0008035714285714273,0.00026999999999999247,0.0008799999999999919,0.00024000000000001798,1.26929,1.266735,1.26467,1.266235,0.007050000000000001
2024-07-03 14:00:00,1.26992,1.27061,1.26959,1.2705899999999999,2579,9,0,1.36137,1.36098,0.00038999999999989043,1.2670914472295967,1.2652279602156857,72.36084452975115,0.0010142413439040432,0.000943505285872663,0.0008007142857142816,0.0006699999999999484,2.0000000000131024e-05,0.00032999999999994145,1.26929,1.26688,1.2645425,1.266235,0.007329999999999837
