Datetime,Open,High,Low,Close,Vol,spread,real_volume,Ask,Bid,Current_Spread,EMA_50,EMA_200,RSI,MACD,MACD_Signal,ATR,Candle_Body,Upper_Shadow,Lower_Shadow,Tenkan_Sen,Kijun_Sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span_Rel
2025-12-19 04:25:00,1.33818,1.33829,1.33809,1.33823,197,9,0,1.36814,1.36805,8.999999999992347e-05,1.3382231640415696,1.338489725581443,42.21105527638085,3.2357856132758656e-05,3.090793985363097e-05,0.00023500000000001693,5.0000000000105516e-05,5.999999999994898e-05,8.999999999992347e-05,1.338245,1.338215,1.3381525,1.33827,0.000320000000000098
2025-12-19 04:30:00,1.33825,1.3383,1.33813,1.3382,164,9,0,1.36814,1.36805,8.999999999992347e-05,1.3382222556477825,1.3384868427398366,46.66666666666914,2.528031004978004e-05,2.9782413892860788e-05,0.0002257142857142894,4.999999999988347e-05,5.0000000000105516e-05,7.00000000000145e-05,1.338315,1.338215,1.3381500000000002,1.33827,0.0001900000000001345
2025-12-19 04:35:00,1.3382,1.3382100000000001,1.33788,1.33799,155,9,0,1.36814,1.36805,8.999999999992347e-05,1.3382131475831636,1.3384818990309826,46.40883977900627,2.6949926339447927e-06,2.4364929641077588e-05,0.0002292857142857255,0.00021000000000004349,1.0000000000065512e-05,0.0001100000000000545,1.3382299999999998,1.338215,1.3381500000000002,1.33815,-4.0000000000040004e-05
2025-12-19 04:40:00,1.33798,1.33802,1.33774,1.33799,156,9,0,1.36814,1.36805,8.999999999992347e-05,1.3382043966975492,1.3384770045132615,53.50318471337788,-1.5030768790280646e-05,1.648578995480594e-05,0.0002257142857142894,1.0000000000065512e-05,2.999999999997449e-05,0.00024000000000001798,1.3381599999999998,1.3382,1.33813,1.33815,0.00017000000000000348
2025-12-19 04:45:00,1.33799,1.33801,1.33774,1.33791,179,9,0,1.36814,1.36805,8.999999999992347e-05,1.3381928517290178,1.3384713626773086,44.13793103448244,-3.512894917934162e-05,6.162842127976429e-06,0.00023071428571429044,8.000000000008001e-05,1.999999999990898e-05,0.00017000000000000348,1.3381599999999998,1.3382,1.33813,1.33815,1.0000000000065512e-05
2025-12-19 04:50:00,1.33791,1.33803,1.33788,1.3379400000000001,144,9,0,1.36814,1.36805,8.999999999992347e-05,1.3381829359749389,1.3384660754864897,47.85714285714512,-4.80818945078898e-05,-4.686105199196817e-06,0.00022785714285714472,3.0000000000196536e-05,8.999999999992347e-05,2.999999999997449e-05,1.3381599999999998,1.3382,1.3381175,1.33815,3.0000000000196536e-05
2025-12-19 04:55:00,1.3379400000000001,1.338,1.33773,1.33788,244,9,0,1.36814,1.36805,8.999999999992347e-05,1.3381710561327844,1.3384602438896092,41.04477611940608,-6.24685964658589e-05,-1.6242603452529233e-05,0.00023214285714285538,6.000000000017103e-05,5.999999999994898e-05,0.00014999999999987246,1.338125,1.338195,1.3380925000000001,1.33815,-0.00043999999999999595
2025-12-19 05:00:00,1.33789,1.3379400000000001,1.33773,1.33793,216,9,0,1.36814,1.36805,8.999999999992347e-05,1.3381616029511068,1.3384549678310063,37.301587301599334,-6.903973222827098e-05,-2.6802029207677582e-05,0.00023214285714285538,4.0000000000040004e-05,1.0000000000065512e-05,0.00015999999999993797,1.338015,1.338195,1.33812,1.33815,-0.00042999999999993044
2025-12-19 05:05:00,1.33793,1.338,1.33779,1.3379400000000001,222,9,0,1.36814,1.36805,8.999999999992347e-05,1.3381529126392988,1.3384498437729864,39.344262295092705,-7.260355959526343e-05,-3.5962335285194755e-05,0.00023642857142858187,1.0000000000065512e-05,5.999999999994898e-05,0.000140000000000029,1.338015,1.338195,1.3381525,1.33815,-0.0004999999999999449
2025-12-19 05:10:00,1.33796,1.338,1.3378700000000001,1.33793,150,9,0,1.36814,1.36805,8.999999999992347e-05,1.3381441709671695,1.3384446711981308,29.245283018886695,-7.536606183866645e-05,-4.38430805958891e-05,0.00022142857142859462,2.999999999997449e-05,4.0000000000040004e-05,5.999999999994898e-05,1.338015,1.338195,1.3381525,1.33812,-0.00029999999999996696
