Datetime,Open,High,Low,Close,Vol,spread,real_volume,Ask,Bid,Current_Spread,EMA_50,EMA_200,RSI,MACD,MACD_Signal,ATR,Candle_Body,Upper_Shadow,Lower_Shadow,Tenkan_Sen,Kijun_Sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span_Rel,Peak,Trough,Pivot_Label
2025-12-18 14:10:00,1.33762,1.33804,1.3373,1.33769,501,9,0,1.36137,1.36098,0.0003899999999998,1.3356932209264056,1.3362219277391534,72.7450980392162,0.0004727646199513824,0.00016474799286932828,0.0007985714285714104,7.00000000000145e-05,0.00034999999999985043,0.000320000000000098,1.33678,1.33678,1.33509,1.3357649999999999,0.0030000000000001137,0.0,0.0,0.0
2025-12-18 14:15:00,1.33769,1.33824,1.3375,1.33791,451,9,0,1.36137,1.36098,0.0003899999999998,1.3357801534390956,1.3362387244780674,73.77358490565965,0.0005745689544078836,0.00024671218517703934,0.0008335714285714177,0.00021999999999988695,0.0003300000000001635,0.0001900000000001345,1.33678,1.33678,1.3350775000000001,1.3357649999999999,0.0032200000000000006,0.0,0.0,0.0
2025-12-18 14:20:00,1.3379,1.33834,1.33778,1.3378,458,9,0,1.36137,1.36098,0.0003899999999998,1.3358593631081508,1.3362542595578877,75.33718689788384,0.0006390074619804231,0.0003251712405377161,0.0008564285714285676,9.999999999998899e-05,0.00043999999999999595,2.0000000000131024e-05,1.33678,1.33678,1.3351600000000001,1.3357649999999999,0.0032400000000001317,0.0,0.0,0.0
2025-12-18 14:25:00,1.33779,1.33818,1.33764,1.3377,366,9,0,1.36137,1.36098,0.0003899999999998,1.3359315449470468,1.3362686450349237,72.78106508875695,0.0006742341278906938,0.0003949838180083117,0.0008735714285714259,9.000000000014552e-05,0.00038999999999989043,5.999999999994898e-05,1.33678,1.33678,1.33515,1.3357649999999999,0.0030599999999998406,0.0,0.0,0.0
2025-12-18 14:30:00,1.3377,1.33846,1.33763,1.33843,421,9,0,1.36137,1.36098,0.0003899999999998,1.3360295235765745,1.3362901510544767,76.16580310880923,0.000752383405992596,0.0004664637356051686,0.000917857142857129,0.0007300000000001194,2.999999999997449e-05,6.999999999979245e-05,1.33678,1.33678,1.33514,1.3357649999999999,0.003970000000000029,0.0,0.0,0.0
2025-12-18 14:35:00,1.33844,1.33904,1.33831,1.33859,395,9,0,1.36137,1.36098,0.0003899999999998,1.3361299344167088,1.3363130351235866,78.25342465753272,0.0008178008357762057,0.0005367311556393761,0.0009485714285714097,0.00014999999999987246,0.00045000000000006146,0.00012999999999996348,1.33678,1.33678,1.33514,1.3357649999999999,0.003909999999999858,0.0,0.0,0.0
2025-12-18 14:40:00,1.33859,1.33874,1.33798,1.33822,327,9,0,1.36137,1.36098,0.0003899999999998,1.3362118977729165,1.3363320098984763,76.16666666666598,0.0008302184706692195,0.0005954286186453448,0.0009857142857142723,0.00036999999999998145,0.0001500000000000945,0.00024000000000001798,1.33678,1.33678,1.33514,1.3357649999999999,0.003730000000000011,0.0,0.0,0.0
2025-12-18 14:45:00,1.33822,1.33868,1.33808,1.33862,294,9,0,1.36137,1.36098,0.0003899999999998,1.3363063331543708,1.3363547759691383,78.88888888888795,0.0008623950396517976,0.0006488219028466354,0.0009964285714285806,0.00039999999999995595,6.000000000017103e-05,0.000140000000000029,1.3381699999999999,1.33678,1.3351324999999998,1.3357649999999999,0.003869999999999818,0.0,0.0,0.0
2025-12-18 14:50:00,1.33862,1.33967,1.33831,1.33956,508,9,0,1.36137,1.36098,0.0003899999999998,1.3364339279326307,1.336386668745565,80.64046579330387,0.0009527624935310453,0.0007096100209835175,0.0010521428571428507,0.0009400000000001629,0.00010999999999983245,0.00030999999999981043,1.338485,1.3369,1.335075,1.3357649999999999,0.004550000000000054,0.0,0.0,0.0
2025-12-18 14:55:00,1.33955,1.33965,1.33917,1.33949,470,9,0,1.36137,1.36098,0.0003899999999998,1.3365537738960571,1.3364175476635196,79.41176470588178,0.0010071214674416407,0.0007691123102751421,0.0010678571428571443,5.999999999994898e-05,9.999999999998899e-05,0.000320000000000098,1.338585,1.3369,1.335105,1.3357649999999999,0.0044200000000000905,0.0,0.0,0.0
2025-12-18 15:00:00,1.33949,1.33981,1.3391,1.33981,468,9,0,1.36137,1.36098,0.0003899999999998,1.3366814690373883,1.336451303408161,80.05698005697917,0.0010637603049223898,0.0008280419092045917,0.0010957142857142793,0.00031999999999987594,0.0,0.0003900000000001125,1.33872,1.33697,1.3351025,1.3357649999999999,0.004729999999999901,0.0,0.0,0.0
2025-12-18 15:05:00,1.33981,1.34003,1.33962,1.33988,478,9,0,1.36137,1.36098,0.0003899999999998,1.3368069016241573,1.3364854197921596,87.80864197530767,0.0011015968835190737,0.0008827529040674881,0.001075714285714291,7.00000000000145e-05,0.0001500000000000945,0.00018999999999991246,1.3388300000000002,1.33708,1.335035,1.3357649999999999,0.004689999999999861,0.0,0.0,0.0
2025-12-18 15:10:00,1.33988,1.34041,1.33978,1.34022,383,9,0,1.36137,1.36098,0.0003899999999998,1.3369407486192886,1.336522579794228,80.49382716049266,0.0011458096230632098,0.0009353642478666324,0.0007421428571428816,0.00034000000000000696,0.0001900000000001345,9.999999999998899e-05,1.33902,1.3372700000000002,1.3349149999999999,1.3357649999999999,0.004850000000000021,0.0,0.0,0.0
2025-12-18 15:15:00,1.34021,1.34089,1.34015,1.34053,755,9,0,1.36137,1.36098,0.0003899999999998,1.3370815035753951,1.3365624546221462,84.59715639810373,0.001192120919024653,0.0009867155820982366,0.0007021428571428734,0.000320000000000098,0.00035999999999991594,5.999999999994898e-05,1.339435,1.33751,1.3349825,1.3357649999999999,0.005139999999999922,0.0,0.0,0.0
2025-12-18 15:20:00,1.34052,1.34093,1.34017,1.34037,598,9,0,1.36137,1.36098,0.0003899999999998,1.3372104642194973,1.3366003406458065,81.16279069767481,0.0012020557415695077,0.0010297836139924908,0.0007035714285714383,0.00014999999999987246,0.00041000000000002146,0.00019999999999997797,1.339455,1.33753,1.334905,1.3357649999999999,0.0052000000000000934,0.0,0.0,0.0
2025-12-18 15:25:00,1.34036,1.34076,1.34017,1.34045,506,9,0,1.36137,1.36098,0.0003899999999998,1.3373375048383405,1.3366386457140074,80.52884615384642,0.0012025225598988332,0.0010643314031737593,0.0006928571428571299,8.999999999992347e-05,0.00031000000000003247,0.00018999999999991246,1.339505,1.33753,1.334905,1.3357649999999999,0.005059999999999842,0.0,0.0,0.0
2025-12-18 15:30:00,1.34047,1.3439,1.34042,1.34135,1367,9,0,1.36137,1.36098,0.0003899999999998,1.3374948575897783,1.3366855248611318,85.8585858585836,0.001260979211753277,0.001103660964889663,0.000901428571428561,0.0008799999999999919,0.0025500000000000522,5.0000000000105516e-05,1.3411050000000002,1.339015,1.3349775,1.3357649999999999,0.005950000000000122,0.0,0.0,0.0
2025-12-18 15:35:00,1.34138,1.34199,1.34115,1.34166,1334,9,0,1.36137,1.36098,0.0003899999999998,1.3376581965078262,1.336735022126195,88.37209302325721,0.001317137794126122,0.0011463563307369548,0.00092285714285713,0.000280000000000058,0.00032999999999994145,0.00022999999999995246,1.3415,1.339015,1.335035,1.3357649999999999,0.006369999999999987,0.0,0.0,0.0
